route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6,11,10913,,,,,,,
6,11,10914,,,,,,,
5,11,10915,,,,,,,
5,11,10916,,,,,,,
6,11,10917,,,,,,,
5,62,1092,,,,,,,
5,11,10920,,,,,,,
5,11,10921,,,,,,,
5,11,10922,,,,,,,
5,11,10923,,,,,,,
5,11,10924,,,,,,,
5,11,10925,,,,,,,
5,11,10926,,,,,,,
5,11,10927,,,,,,,
5,11,10928,,,,,,,
5,11,10929,,,,,,,
5,62,1093,,,,,,,
5,11,10930,,,,,,,
5,11,10931,,,,,,,
5,11,10932,,,,,,,
5,11,10933,,,,,,,
5,11,10934,,,,,,,
5,11,10935,,,,,,,
6,11,10938,,,,,,,
6,11,10939,,,,,,,
5,62,1094,,,,,,,
6,11,10940,,,,,,,
6,11,10941,,,,,,,
6,11,10942,,,,,,,
6,11,10943,,,,,,,
6,11,10944,,,,,,,
6,11,10945,,,,,,,
6,11,10946,,,,,,,
6,11,10947,,,,,,,
6,11,10948,,,,,,,
6,11,10949,,,,,,,
5,62,1095,,,,,,,
6,11,10950,,,,,,,
6,11,10951,,,,,,,
6,11,10952,,,,,,,
6,11,10953,,,,,,,
6,11,10954,,,,,,,
6,11,10955,,,,,,,
6,11,10956,,,,,,,
6,11,10957,,,,,,,
6,11,10958,,,,,,,
6,11,10959,,,,,,,
5,62,1096,,,,,,,
6,11,10960,,,,,,,
6,11,10961,,,,,,,
6,11,10962,,,,,,,
6,11,10963,,,,,,,
6,11,10964,,,,,,,
6,11,10965,,,,,,,
6,11,10966,,,,,,,
6,11,10967,,,,,,,
6,11,10968,,,,,,,
